NAME,PRICE,MILES
NAME,PRICE,MILES
NAME,PRICE,MILES
-,kawasaki ninja 300,"Washington, DC",2995.38
2014 Kawasaki ninja,3800,-1
2021 Kawasaki ninja,4250,-1
2014 Kawasaki ninja 300 abs se,2400,-1
2011 Kawasaki ninja,1820,20000
2019 Kawasaki ninja 650ex,3000,11000
2020 Kawasaki ninja ex400 glf abs,3999,675
2014 Kawasaki ninja,3000,4000
Yamaha R3 320 CC 2015 8k,3500,-1
Kawasaki ninja 300,3100,-1
2012 Kawasaki ninja,1800,5000
2011 Kawasaki ninja,3000,12000
2013 Kawasaki ninja,-2,2000
2020 Kawasaki ninja 400 abs,4500,-1
2014 Kawasaki ex 300,3620,-1
2014 Kawasaki ninja,3200,24000
2016 Kawasaki ex300,3600,-1
2016 Kawasaki ninja 300,2500,-1
2022 Kawasaki xpro x24,2800,600
2018 Kawasaki ninja,5700,8000
2012 Kawasaki ninja,-2,11000
2021 Kawasaki z400 abs,2500,-1
2018 Honda cbr,3800,-1
2008 Kawasaki ninja,2500,-1
2017 Kawasaki ninja,3500,-1
-,kawasaki ninja 300,"Richmond, VA",3307.3
2016 Kawasaki ninja 300,2500,-1
2016 Kawasaki ninja 300 abs,3500,-1
2014 Kawasaki ninja,3000,4000
2010 Kawasaki kx,2000,-1
2020 Kawasaki ninja,4500,16000
2016 Kawasaki Ninja,5000,-1
2023 Kawasaki ninja,5000,300
2014 Kawasaki ninja,3800,-1
2004 Kawasaki ninja,2300,20000
Red fairings 2012 kawasaki ninja 250,-2,-1
2008 Kawasaki ninja,2500,-1
2011 Kawasaki ninja,1820,20000
2021 Kawasaki zx6r 636,6000,-1
2012 Kawasaki ninja,2999,16000
2009 Kawasaki ninja,3250,-1
2014 Kawasaki ninja,3100,9000
2020 Kawasaki ninja ex400 glf abs,3999,675
2017 Kawasaki ninja,3500,13000
2003 Kawasaki ninja,1400,4000
2022 Kawasaki ninja 650 abs,7500,-1
2005 Kawasaki ninja,4000,42000
2009 Kawasaki ninja,2400,14000
2006 Kawasaki 250 ninja,2000,-1
-,kawasaki ninja 300,"Orlando, FL",3225.92
2015 Kawasaki ninja 300 abs,4200,15000
2014 Kawasaki ninja,1300,20000
2015 Kawasaki ninja 300 se,2800,17000
2014 Kawasaki ninja 300 part out,1234,15000
2017 Kawasaki ninja 300 abs,4000,-1
2014 Kawasaki ninja 300 abs,3700,11000
2023 Kawasaki ninja,5000,5000
2022 Kawasaki ninja,4688,-1
Kawasaki 300 part out,-2,-1
2009 Kawasaki ninja,2250,30000
2017 Kawasaki ex300,4200,5000
300 Yamaha,3000,-1
2018 Kawasaki ninja,4000,13000
2016 Kawasaki ninja,3150,11000
2019 Kawasaki ninja,4400,11000
2010 Kawasaki 250r,2500,25000
2012 Ninja,4200,-1
2011 Kawasaki ninja,3500,52000
2012 Kawasaki ninja,2800,11000
2016 Kawasaki ninja,3500,-1
2018 Kawasaki ninja,4600,3000
2017 Yamaha yzf,4200,-1
Kawasaki 300,2000,-1
2007 Kawasaki ninja,2200,-1
-,kawasaki ninja 300,"Philadelphia, PA",2939.54
2013 Kawasaki ninja,750,2000
2017 Kawasaki ninja,4200,-1
2014 Kawasaki ninja,3900,5000
2016 Kawasaki ninja abs krt 300,3000,21000
2010 Kawasaki ninja,3800,-1
2014 Kawasaki ninja,3200,-1
2012 Kawasaki ex 250r ninja,1000,11000
2016 Kawasaki ninja 300 abs,4000,-1
2017 Kawasaki ninja,4999,-1
2018 Kawasaki ninja 400 abs,4000,-1
2018 Honda cbr,3500,-1
2019 Kawasaki ninja 650ex,3000,11000
2011 Kawasaki ninja sx 1000,3200,14000
2021 Kawasaki ninja 650 abs,5000,-1
2004 Kawasaki ninja,2000,1000
2012 Kawasaki ninja,2600,17000
2013 Ninja 300 cc,3600,-1
Kawasaki Ninja 300 PART OUT,-2,-1
2007 Kawasaki ninja,2000,-1
2012 Kawasaki ninja 250cc,1800,10000
2010 Kawasaki ninja,2000,-1
2016 Kawasaki ninja,3000,11000
2003 Kawasaki ninja,2000,21000
2021 Honda cbr,4000,-1
-,kawasaki ninja 300,"Baltimore, MD",3116.21
2014 Kawasaki ninja,3800,-1
2019 Kawasaki ninja 650ex,3000,11000
2014 Kawasaki ninja 300 abs se,2400,-1
2020 Kawasaki ninja ex400 glf abs,3999,675
2014 Kawasaki ninja,3200,24000
Kawasaki Ninja 300 PART OUT,-2,-1
Yamaha R3 320 CC 2015 8k,3500,-1
2011 Kawasaki ninja,3000,12000
2014 Kawasaki ex 300,3620,-1
2012 Kawasaki ninja,2600,17000
2012 Kawasaki ninja,1800,5000
Kawasaki ninja 300,3100,-1
2013 Kawasaki ninja,-2,2000
2016 Kawasaki ninja 300 abs,3500,-1
2010 Kawasaki ninja,3800,-1
2018 Kawasaki ninja,5700,8000
2011 Kawasaki ninja,1820,20000
2013 Ninja 300 cc,3600,-1
2017 Kawasaki ninja,3500,-1
2021 Kawasaki ninja,4250,-1
2013 Kawasaki ninja,4000,-1
2021 Kawasaki ninja,5100,-1
2014 Kawasaki ninja,3000,4000
2021 Kawasaki z400 abs,2500,-1
-,kawasaki ninja 300,"New York City, NY",2409.95
Kawasaki ninja 300,1000,-1
2010 Kawasaki ninja,800,14000
2004 Kawasaki ninja,2000,1000
2016 Kawasaki ninja,3000,11000
2013 Kawasaki ninja,3500,13000
2023 Electric motorcycle kawasaki,1499,-1
2023 Kawasaki klx,4000,1000
2021 Kawasaki ninja,-2,6000
"Kawasaki 250, 300, 650... PARTS!!!",-2,-1
2008 Kawasaki ninja,3000,12000
2018 Kawasaki ninja,4500,-1
2011 Kawasaki ninja,-1,20000
Ninja 300 roller,650,-1
2013 Kawasaki ninja 300,1800,-1
2012 Kawasaki ninja,2650,-1
2014 Kawasaki ninja,3300,7000
2015 Kawasaki ninja,3200,45000
2017 Kawasaki z,4800,-1
CBR 500,5500,-1
2008 Kawasaki ninja,3000,9000
-,kawasaki ninja 300,"Atlanta, GA",2490.61
2014 Kawasaki ninja,3700,9000
2022 Kawasaki ninja,2750,-1
2012 Kawasaki ninja,3400,-1
2016 Kawasaki ninja 650,900,-1
2014 Kawasaki ninja,2500,20000
2021 Kawasaki ninja 400 abs,1234,-1
2015 Kawasaki,3800,-1
2008 Kawasaki ninja,800,1000
2017 Hyosung gd250rr,2250,650
2022 Dong Fang other,1500,300
2004 Kawasaki ninja,4500,20000
2021 Kawasaki ninja,5000,-1
Kawasaki 300,-2,-1
2008 Kawasaki ninja,-2,300
2017 Kawasaki zx10r parting out,1000,-1
